PRODUCT_NAME,BARCODE_NUMBER,MRP_PRICE,PRODUCT_IMAGE_LINK
"Amul 75% Dark Bitter Chocolate Bar, 150g",8901262070836,110.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262070836.jpg
"Cadbury 5 Star Chocolate Home Pack, 200g (20 Units)",7622210990815,149.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/5/4/54.0_1.jpg
"Cadbury 5 Star Chocolate Bar, 40g",8901233030937,17.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/5/8/580.0.jpg
Cadburry Cadbury Perk Chocolate 14.3g,,4.40,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/5/9/59.0_1.jpg
"Cadbury Dairy Milk Chocolate Home Treat Pack, 140g (20 Count)",8901233034690,126.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901233034690.jpg
"Cadbury Dairy Milk Silk Chocolate Bar, Roast Almond, 137G",,140.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/5/65.0_1.jpg
"Cadbury Choclairs Birthday Pack 115 Candies, 655.5g",7622201403812,190.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/8/68.0_1_1.jpg
"Cadbury Dairy Milk Roast Almond, 36g",,42.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/_/6.0_1_1.jpg
"Cadbury Oreo Strawberry Creme Biscuit, 120g",8901233025179,30.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/_/7.0_1_1.jpg
"Cadbury Dairy Milk Silk Bubbly Chocolate Bar, 50g",,70.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/1/0/10.0_1_1.jpg
"Cadbury Dairy Milk Silk Oreo, 60g",8901233033525,70.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901233033525.jpg
"Cadbury Dairy Milk Silk Oreo, 130g",,149.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/1/7/17.0_1_1.jpg
Cadbury 5 Star Chocolate 10.1g (Pack of 54),,235.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/1/8/18.0_1_1.jpg
"Cadbury Fuse Chocolate Bar, 45g",8901233031736,30.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/3/_/3.0_1_2.jpg
"Cadbury Dairy Milk Silk Chocolate Bar, Bubbly, 120g",,158.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/1/4/14.0_3.jpg
"Cadbury Dairy Milk Chocolate Shots, 201.6 G Carton (52 Units Of 3.6 G Each + 4 Units Of 3.6 G Each Free)",,108.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/2/1/21.0_1_2.jpg
"Cadbury 5 Star 3D Chocolate Bar, 45g",,26.40,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/2/4/24.0_2.jpg
"Cadbury Dairy Milk Silk Fruit And Nut, 137g",7622201452704,160.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/6/7622201452704.jpg
"Cadbury Dairy Milk Chocolate Bar, 52G Maha Pack",,36.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/3/0/30.0_3.jpg
"Cadbury Dairy Milk Silk Plain, 150g",,140.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/3/2/32.0_3.jpg
"Cadbury Dairy Milk Crackle, 36g",7622201149543,40.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/3/3/33.0_2.jpg
"Cadbury Dairy Milk Silk Fruit and Nut Chocolate Bar, 55g",7622201452674,72.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/6/7622201452674.jpg
"Cadbury Dairy Milk Silk Roast Almond Chocolate Bar, 55g",,72.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/4/_/4.0_2_1.jpg
"Cadbury Dairy Milk Fruit And Nut Chocolate Bar, 36g",7622201150181,40.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/5/_/5.0_2_1.jpg
"Cadbury Oreo Vanilla Cream Biscuit, 120g",8901233025155,28.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/1/0/10.0_2.jpg
